id;fname;author;title
1;00011 Het geheimzinnige eiland.txt;Jules Verne;Het Geheimzinnige Eiland De Verlatene
2;00023 Slapeloze nachten.txt;Madeleine Wickham;Slapeloze nachten / druk 1
3;00029 Zachte Heelmeesters.txt;Nicolet Steemers;Zachte heelmeesters / druk 1
4;00031 Summercrime.txt;Unknown;Summercrime / druk 1
5;00034 Het duister van de maan.txt;John Sandford;Het duister van de maan
6;00039 De samenzwering.txt;David Baldacci;De samenzwering / druk 1
7;00040 Vals licht.txt;Joost Zwagerman;Vals licht
8;00047 Wat er niet meer is.txt;Unknown;Wat er niet meer is / druk 1
9;00050 Vuurspel.txt;Peter Robinson;Vuurspel
10;00053 Het geheime leven van een ploetermoeder.txt;Fiona Neill;Het geheime leven van een ploetermoeder / druk 1
11;00060 Spoorloos.txt;Harlan Coben;Spoorloos / druk 1
12;00061 Jacoba dochter van Holland.txt;Simone van der Vlugt;Jacoba, Dochter van Holland
13;00062 Villa Serena.txt;Marion Pauw;Villa Serena
14;00067 De fietser.txt;Frank Alexander;De Fietser
15;00071 Stoom.txt;Willem van Toorn;Stoom
16;00076 All-inclusive.txt;Suzanne Vermeer;All-inclusive
17;00078 Stuk.txt;Judith Visser;Stuk / druk 1
18;00081 De Cock en een deal met de duivel.txt;A.C. Baantjer;De Cock en een deal met de duivel
19;00086 Hartje zomer.txt;Jan Siebelink;Hartje zomer
20;00088 Nachtschade.txt;Karin  Slaughter;Nachtschade / druk 32
21;00097 Een lichte koude huivering.txt;Karin  Slaughter;Een lichte koude huivering / druk 20
22;00101Triptiek.txt;Karin  Slaughter;Triptiek / druk 8
23;00103 Bezieling.txt;Tess Franke;De bezieling
24;00111 De verschrikkelijke man uit Saffle.txt;Sjöwall & Wahlöö;De verschrikkelijke man uit Saffle
25;00112 De vrouw in het gotakanaal.txt;Sjöwall & Wahlöö;De vrouw in het Gotakanaal
26;00116 Lust.txt;Carla van Raay;Lust / druk 1
27;00119 13.txt;Pieter Aspe;13
28;00124 Bevroren Tegoed.txt;Bert Muns;Bevroren Tegoed
29;00140 De Cock en de onsterfelijke dood_.txt;A.C. Baantjer;De Cock en de onsterfelijke dood
30;00143 De Uitnodiging.txt;W. Paul Young;De Uitnodiging
31;00148 Het Achterhuis.txt;Anne Frank;Het Achterhuis
32;00162 Daglicht.txt;Marion Pauw;Daglicht / druk Heruitgave
33;00165 Wurgkoord.txt;Bert Muns;Wurgkoord
34;00168 Zondeval.txt;Peter Robinson;Zondeval
35;00171 Onaantastbaar.txt;Karin  Slaughter;Onaantastbaar / druk 5
36;00172 Onzichtbaar.txt;Karin Slaughter;Onzichtbaar / druk 14
37;00173 Trouweloos.txt;Karin Slaughter;Trouweloos / druk 19
38;00174 De Vlucht.txt;Suzanne Vermeer;De vlucht / druk 1
39;00176 Apres Ski.txt;Suzanne Vermeer;Après-ski
40;00177 Zoete Tranen.txt;Madeleine Wickham;Zoete tranen / druk 1
41;00179 De Cock en een strop voor Bobby.txt;A.C. Baantjer;de Cock en een strop voor Bobby
42;00181 Op eigen gezag.txt;David Baldacci;Op eigen gezag / druk 1
43;00193 De Dood Van Een Gigolo.txt;Joop van den Haak;De Dood Van Een Gigolo
44;00197 Lotsverbintenis.txt;Ruth Rendell;Lotsverbintenis
45;00198 Het heetst van de dag.txt;Nora Roberts;Heetst van de dag / druk 1
46;00199 Drijfzand.txt;Peter Robinson;Drijfzand / druk 1
47;00200 Duivelsgebroed.txt;Peter Robinson;Zielsverduistering / druk 1
48;00201 Kil als het graf.txt;Peter Robinson;Kil als het graf
49;00202 Nasleep.txt;Peter Robinson;Nasleep / druk 1
50;00203 Onvoltooide zomer.txt;Peter Robinson;Onvoltooide zomer / druk 1
51;00204 Schijnbeeld.txt;Peter Robinson;Schijnbeeld
52;00205 Tegenstroom.txt;Peter Robinson;Tegenstroom / druk 1
53;00206 Woensdagkind.txt;Peter Robinson;Woensdagkind / druk 1
54;00207 Gebroken.txt;Michael Robotham;Gebroken / druk 1
55;00208 Het verlies.txt;Michael Robotham;Het verlies / druk 5
56;00209 Nachtboot.txt;Michael Robotham;Nachtboot / druk 3
57;00210 De zesde mei.txt;Tomas Ross;De zesde mei / druk 8
58;00212 Morgenster.txt;Jaap Scholten;Morgenster / druk 10
59;00216 Niemand die je hoort.txt;Steve Mosby;Niemand die je hoort / druk 1
60;00218 Zes sterren.txt;Joost Zwagerman;ZES STERREN
61;Aalberse, Han - De Liefde Van Bob En Daphne.txt;Han Aalberse;De Liefde Van Bob En Daphne
62;Aalbrecht, Heidi - Al regent het varkens.txt;Heidi Aalbrecht;Al regent het varkens…: De herkomst van Nederlandse spreekwoorden (NL, 2003)
63;Aalbrecht, Heidi - Parels voor de zwijnen.txt;Heidi Aalbrecht;Parels voor de zwijnen (NL, 2002)
64;Abalos, Rafael - Grimpow - Het geheim der Wijzen.txt;Rafael Abalos;Grimpow - Het geheim der wijzen
65;Abbot, John C. - Columbus.txt;John S. C. Abbott;Columbus: de ontdekker van Amerika
66;Achterhuis, Hans - De markt van welzijn en geluk.txt;Hans Achterhuis;De markt van welzijn en geluk
67;Acito, Marc - Hoe ik mijn collegegeld betaalde.txt;Marc Acito;Hoe ik mijn collegeld betaalde
68;Adama van Scheltema, Carel Steven - Mei droom.txt;Carel Steven Adama van Scheltema;Mei-droom
69;Adams, Douglas - Het leven, het heelal en de rest.txt;Douglas Adams;Het Leven, Het Heelal En De Rest
70;Adelmund, Martijn J. & Veen, Thijs van de - De verborgen geschiedenis van De Oranjes.txt;Martijn J. Adelmund & Thijs van der Veen;De verborgen geschiedenis van de Oranjes / druk 1
71;Adelmund, Martijn J. & Veen, Thijs van de - De verborgen geschiedenis van de tweede wereldoorlog.txt;Martijn J. Adelmund & Thijs van der Veen;De verborgen geschiedenis van de Tweede Wereldoorlog / druk 1
72;Adelmund, Martijn J. - Mysteries in Drenthe.txt;Martijn J. Adelmund;Mysteries in Drenthe
73;Adelmund, Martijn J. - Mysteries in Gelderland.txt;Martijn J. Adelmund;Mysteries in Gelderland
74;Adelmund, Martijn J. - Mysteries in Groningen.txt;Martijn J. Adelmund;Mysteries in Groningen
75;Adelmund, Martijn J. - Mysteries in Limburg.txt;Martijn J. Adelmund;Mysteries in Limburg
76;Adelmund, Martijn J. - Mysteries in Nederland - De Noordzee.txt;Martijn J. Adelmund;Mysteries in Nederland - De Noordzee
77;Adelmund, Martijn J. - Mysteries in Nederland - De Veluwe.txt;Martijn J. Adelmund;Mysteries in Nederland - De Veluwe
78;Adelmund, Martijn J. - Mysteries in Nederland - Den Haag.txt;Martijn J. Adelmund;Mysteries in Nederland - Den Haag
79;Adelmund, Martijn J. - Mysteries in Nederland - Rotterdam.txt;Martijn J. Adelmund;Mysteries in Nederland - Rotterdam
80;Adelmund, Martijn J. - Mysteries in Nederland Amsterdam.txt;Martijn J. Adelmund;Mysteries in Nederland - Amsterdam
81;Adelmund, Martijn J. - Mysteries in Noord-Brabant.txt;Martijn J. Adelmund;Mysteries in Noord-Brabant / druk 1
82;Adelmund, Martijn J. - Mysteries in Noord-Holland.txt;Martijn J. Adelmund;Mysteries in Noord-Holland
83;Adelmund, Martijn J. - Mysteries in Overijssel.txt;Martijn J. Adelmund;Mysteries in Overijssel
84;Adelmund, Martijn J. - Mysteries in Utrecht.txt;Martijn J. Adelmund;Mysteries in Utrecht
85;Adelmund, Martijn J. - Mysteries in Zeeland.txt;Martijn J. Adelmund;Mysteries in Zeeland
86;Adler, Nancy - Overleven Na De Goelag.txt;Nancy Adler;Overleven Na De Goelag
87;Adler-Olsen, Jussi - De fazantmoordenaars.txt;Jussi Adler-Olsen;De fazantenmoordenaars
88;Adler-Olsen, Jussi - De noodkreet in de fles.txt;Jussi Adler-Olsen;De noodkreet in de fles
89;Adler-Olsen, Jussi - De vrouw in de kooi.txt;Jussi Adler-Olsen;De vrouw in de kooi
90;Adriaans, Ingrid - Vijf jaar zeilen in de schaduw van de maan.txt;Ingrid Adriaans;[NL] 1999 - Vijf jaar zeilen in de schaduw van de maan
91;Adrichem, Arnoud van - Vis.txt;Arnoud van Adrichem;Vis
92;Agassi, Andre - Open.txt;Andre Agassi;Open - een autobiografie
93;Ake Edwardson - Kamer nr 10.txt;Ake Edwardson;Kamer nr. 10
94;Albering & van Velde - Bestemming Beijing.txt;Elles Albering & Michel van Velde;[NL] 2004 - Bestemming Beijing
95;Albers, Liselore - Pumps in de Pits.txt;Liselore Albers;Pumps in de pits / druk 1
96;Alcott, Louisa May - Onder Moeders Vleugels.txt;Louisa May Alcott;Little women. Dutch
97;Alcott, Louisa May - Op eigen wieken.txt;Louisa May Alcott;Good wives. Dutch
98;Alexie, Sherman - Dagboek van een halve Indiaan.txt;Sherman Alexie;[NL] 2007 - Dagboek van een halve Indiaan
99;Alfredsson,  Karin - De Verlossing.txt;Karin Alfredsson;De Verlossing
100;Alice Munro - Too Much Happiness.txt;Alice Munro;Too Much Happiness
101;Alighieri, Dante - Dante's hel.txt;Dante Alighieri;Dante's Hel / In proza overgebracht en met een inleiding voorzien
102;Alighieri, Dante - Het nieuwe leven.txt;Dante Alighieri;Het Nieuwe Leven / (La Vita Nuova)
103;Alistair MacLean - De kanonnen van Navarone.txt;Alistair MacLean;De kanonnen van Navarone-totaal
104;Allee, Anne - Waanzin.txt;Anne Allee;Waanzin
105;Ambrose, Stephen E. - Band of Brothers.txt;Stephen E Ambrose;Band of Brothers
106;Amelineau, Emile - Abydos.txt;Emile Amélineau;Abydos / De Aarde en haar Volken, 1906
107;Amirrezvani, Anita - Dochter van Isfahan.txt;Anita Amirrezvani;Dochter van Isfahan / druk 1
108;ammaniti, niccole - ik ben niet bang.txt;Niccollo Ammaniti;Ik ben niet bang
109;Ammaniti, Niccollo - Laat het feest beginnen!.txt;Niccollo Ammaniti;Laat het feest beginnen!
110;Ammaniti, Niccollo -Zo God het Wil.txt;Niccollo Ammaniti;Zo god het wil
111;Ammaniti, Niccolo - Ik haal je op, ik neem je mee.txt;Niccollo Ammaniti;Ik haal je op, ik neem je mee
112;Ammaniti, Nicolo en Manzani Antonio - jij bent mijn schat.txt;Niccollo Ammaniti;jij bent mijn schat
113;Amundsen, Roald - Aan de Zuidpool.txt;Roald Amundsen;Aan de Zuidpool / De Aarde en haar Volken, 1913
114;Andersen, Hans Christian - Andersens Sproken En Vertellingen.txt;Hans Christian Andersen;Andersens Sproken en vertellingen / Morgenrood
115;Andersens Sproken en vertellingen _ Morgenrood - H. C. Andersen.txt;Hans Christian Andersen;Andersens Sproken en vertellingen / Morgenrood
116;Anderson, Poul - Avontuur in het verleden.txt;Poul Anderson;Avontuur in het Verleden
117;Anderson, Poul - Een gok om drie werelden.txt;Poul Anderson;Een gok om drie werelden
118;Anderson, Poul - Komt Tijd.txt;Poul Anderson;Komt Tijd
119;Anderson, Poul - Tunnels door de Tijd.txt;Poul Anderson;Tunnels door de Tijd
120;Anderson, Poul - Vlaag van verstand.txt;Poul Anderson;Vlaag van verstand
