filepath,isbn,author:id,author:lastname,categories,language,record_id,subject,title:detail,txt_file
Harry Potter en de gevangene van Azkaban - J.K.Rowling,,,,,,,,,
"Mazzantini, Margaret - Ga niet weg",,,,,,,,,
"Schutten, Maaike - 15 min","9789021804279,9021804271,9789021804279;9789021803609,9021803607,9789021803609;9789021804583,9021804581,9789021804583",67849,Schutten,"Pockets populaire fictie,Pockets algemeen,Literaire fictie algemeen",dut,9789021804583,312,15 minuten,"Schutten, Maaike - 15 min-2.xml"
"Andrews, Virginia - Melody 5 - (1999) Verstilde Stemmen (Olivia)","9032507036,9032507036,9789032507039",38853,Andrews,"Griezel- en spookverhalen, horror,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789032507039,335,Melody 5 Verstilde stemmen,"Andrews, Virginia - Melody 5 - (1999) Verstilde Stemmen (Olivia).xml"
"Middelbeek, Mariette - Crash",,,,,,,,,
"Johns, WE - 03 Biggles als spion",,,,,,,,,
"Andrews, Virginia - Heavenstone 2 - Gefluister in de nacht","9789032511913,9032511912,9789032511913",53720,Andrews,"Griezel- en spookverhalen, horror,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789032511913,335,Gefluister in de nacht,"Andrews, Virginia - Heavenstone 2 - Gefluister in de nacht.xml"
"Kapotte plantage_ Suriname, een Hollands - John Jansen van Galen","9789025433116,9025433111,9789025433116",155683,Jansen van Galen,"Geschiedenis algemeen,Non-fictie informatief/professioneel algemeen",dut,9789025433116,680,Kapotte plantage,"Kapotte plantage_ Suriname, een Hollands - John Jansen van Galen.xml"
"Heine, Heinrich - Franse toestanden",,,,,,,,,
"Ijmker, Janne - Achtendertig nachten","9789023905943,9023905946,9789023905943;9023991737,9023991737,9789023991731",155030,Ijmker,"Literaire roman, novelle,Literaire fictie algemeen",dut,9789023991731,301,Achtendertig nachten,"Ijmker, Janne - Achtendertig nachten-1.xml"
"Brooks, Terry - Krachten van het kwaad 3 - Vuur van de engelen","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;7918013123,7918013123,9787918013124;2155222432,2155222432,9782155222438;2160311111,2160311111,9782160311110;0268435456,0268435456,9780268435455",,,,,,,,"Brooks, Terry - Krachten van het kwaad 3 - Vuur van de engelen-1.xml"
"Ross, Tomas - Blue Curacao",,,,,,,,,
Het kleine huis (06) de lange winter - Laura Ingalls Wilder,,,,,,,,,
"May, Julian - Jack","2116972582,2116972582,9782116972587;2360011111,2360011111,9782360011117;2155222432,2155222432,9782155222438;2161011111,2161011111,9782161011118;2160311111,2160311111,9782160311110",,,,,,,,"May, Julian - Jack.xml"
"Stoffels, Maren - Met mijn ogen dicht","9789025857271,9025857272,9789025857271",155908,Stoffels,"Fictie 10-12 jaar,Fictie kinder- en jeugdboeken algemeen,Kinderboeken algemeen",dut,9789025857271,283,Met mijn ogen dicht,"Stoffels, Maren - Met mijn ogen dicht.xml"
Het hoogste bod,"9789044522099,9044522094,9789044522099",102135,Toes,"Detective,Spannende boeken algemeen,Literaire fictie algemeen",dut,9789044522099,331,Verraad van de verbeelding,Het hoogste bod.xml
"Hoffman, Alice - Onder water",,,,,,,,,
Maigret op Montmartre - Georges Simenon,,,,,,,,,
